symbol,date,time,side,entry,stop_loss,tp1,tp2,tp3,tp4
BASUSDT,2025-12-12,01:30,short,0.004027,0.004168,0.003983,0.003926,0.003866,0.003785
FFUSDT,2025-12-12,01:30,short,0.11696,0.121054,0.115673,0.114036,0.112282,0.109942
LIGHTUSDT,2025-12-12,01:30,long,1.1602,1.119593,1.172962,1.189205,1.206608,1.229812
SPXUSDT,2025-12-12,01:30,short,0.6047,0.625864,0.598048,0.589583,0.580512,0.568418
SOMIUSDT,2025-12-12,01:30,long,0.2513,0.242505,0.254064,0.257582,0.261352,0.266378
ICNTUSDT,2025-12-12,01:30,long,0.2839,0.273963,0.287023,0.290997,0.295256,0.300934
SAPIENUSDT,2025-12-12,01:30,long,0.15874,0.153184,0.160486,0.162708,0.16509,0.168264
TRUTHUSDT,2025-12-12,01:30,long,0.019524,0.018841,0.019739,0.020012,0.020305,0.020695
JELLYJELLYUSDT,2025-12-12,01:30,long,0.06916,0.066739,0.069921,0.070889,0.071926,0.07331
SENTUSDT,2025-12-11,21:30,short,0.04615,0.047765,0.045642,0.044996,0.044304,0.043381
XPINUSDT,2025-12-11,21:30,short,0.001844,0.001909,0.001824,0.001798,0.00177,0.001733
MYXUSDT,2025-12-11,21:30,long,3.091,2.982815,3.125001,3.168275,3.21464,3.27646
DOLOUSDT,2025-12-11,21:30,short,0.03878,0.040137,0.038353,0.037811,0.037229,0.036453
ESPORTSUSDT,2025-12-11,21:30,long,0.43027,0.415211,0.435003,0.441027,0.447481,0.456086
METUSDT,2025-12-11,21:30,short,0.2654,0.274689,0.262481,0.258765,0.254784,0.249476
RATSUSDT,2025-12-11,21:30,long,0.0404,0.038986,0.040844,0.04141,0.042016,0.042824
AEVOUSDT,2025-12-11,21:30,short,0.04255,0.044039,0.042082,0.041486,0.040848,0.039997
RIVERUSDT,2025-12-11,21:30,long,6.315,6.093975,6.384465,6.472875,6.5676,6.6939
JCTUSDT,2025-12-11,21:30,short,0.002044,0.002116,0.002022,0.001993,0.001962,0.001921
UBUSDT,2025-12-11,21:30,long,0.04498,0.043406,0.045475,0.046104,0.046779,0.047679
BIOUSDT,2025-12-11,21:30,short,0.04857,0.05027,0.048036,0.047356,0.046627,0.045656
AVNTUSDT,2025-12-11,21:30,short,0.2925,0.302737,0.289282,0.285187,0.2808,0.27495
VINEUSDT,2025-12-11,17:30,short,0.02916,0.030181,0.028839,0.028431,0.027994,0.02741
XANUSDT,2025-12-11,17:30,short,0.01916,0.019831,0.018949,0.018681,0.018394,0.01801
BRUSDT,2025-12-11,17:30,short,0.04862,0.050322,0.048085,0.047404,0.046675,0.045703
GIGGLEUSDT,2025-12-11,17:30,short,76.46,79.1361,75.61894,74.5485,73.4016,71.8724
TRUTHUSDT,2025-12-11,17:30,long,0.021808,0.021045,0.022048,0.022353,0.02268,0.023116
SPXUSDT,2025-12-11,17:30,short,0.6042,0.625347,0.597554,0.589095,0.580032,0.567948
AIAUSDT,2025-12-11,17:30,short,0.1607,0.166324,0.158932,0.156683,0.154272,0.151058
BASUSDT,2025-12-11,17:30,short,0.004034,0.004175,0.00399,0.003933,0.003873,0.003792
JELLYJELLYUSDT,2025-12-11,17:30,long,0.08421,0.081263,0.085136,0.086315,0.087578,0.089263
VFYUSDT,2025-12-11,05:30,short,0.03091,0.031992,0.03057,0.030137,0.029674,0.029055
SENTUSDT,2025-12-11,05:30,long,0.04642,0.044795,0.046931,0.04758,0.048277,0.049205
MAVIAUSDT,2025-12-11,05:30,long,0.05547,0.053529,0.05608,0.056857,0.057689,0.058798
XPLUSDT,2025-12-11,05:30,long,0.1701,0.164147,0.171971,0.174352,0.176904,0.180306
CLOUSDT,2025-12-11,05:30,short,0.3559,0.368356,0.351985,0.347002,0.341664,0.334546
FOLKSUSDT,2025-12-11,05:30,long,15.639,15.091635,15.811029,16.029975,16.26456,16.57734
BIOUSDT,2025-12-11,05:30,long,0.05278,0.050933,0.053361,0.054099,0.054891,0.055947
JCTUSDT,2025-12-11,05:30,short,0.002304,0.002385,0.002279,0.002246,0.002212,0.002166
RATSUSDT,2025-12-11,05:30,long,0.03813,0.036795,0.038549,0.039083,0.039655,0.040418
RIVERUSDT,2025-12-11,05:30,long,6.26,6.0409,6.32886,6.4165,6.5104,6.6356
ZORAUSDT,2025-12-11,05:30,long,0.04963,0.047893,0.050176,0.050871,0.051615,0.052608
METUSDT,2025-12-11,05:30,short,0.2898,0.299943,0.286612,0.282555,0.278208,0.272412
SQDUSDT,2025-12-11,05:30,long,0.04992,0.048173,0.050469,0.051168,0.051917,0.052915
TRUTHUSDT,2025-12-11,01:30,long,0.024466,0.02361,0.024735,0.025078,0.025445,0.025934
AVNTUSDT,2025-12-11,01:30,long,0.3205,0.309283,0.324025,0.328512,0.33332,0.33973
AEVOUSDT,2025-12-11,01:30,long,0.04565,0.044052,0.046152,0.046791,0.047476,0.048389
CETUSUSDT,2025-12-11,01:30,short,0.03003,0.031081,0.0297,0.029279,0.028829,0.028228
LYNUSDT,2025-12-11,01:30,short,0.06762,0.069987,0.066876,0.06593,0.064915,0.063563
PIPPINUSDT,2025-12-11,01:30,long,0.34174,0.329779,0.345499,0.350283,0.35541,0.362244
SPXUSDT,2025-12-11,01:30,short,0.6792,0.702972,0.671729,0.66222,0.652032,0.638448
CETUSUSDT,2025-12-08,13:30,long,0.02963,0.028593,0.029956,0.030371,0.030815,0.031408
UBUSDT,2025-12-08,13:30,long,0.0428,0.041302,0.043271,0.04387,0.044512,0.045368
POPCATUSDT,2025-12-08,13:30,long,0.1046,0.100939,0.105751,0.107215,0.108784,0.110876
BONKUSDT,2025-12-08,13:30,short,0.009407,0.009736,0.009304,0.009172,0.009031,0.008843
NOMUSDT,2025-12-08,13:30,short,0.00989,0.010236,0.009781,0.009643,0.009494,0.009297
