status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,position_size,exit_price,balance_after_trade
completed,USELESSUSDT,long,2025-10-22 01:30:00,0.3445,2.0,5.0,0.35139,0.327275,4.0,True,loss,-0.6097560975609753,-4.999999999999997,2025-10-22 01:31:00,2.0,False,17,12.195121951219512,0.327275,993.955095525387
completed,SOONUSDT,short,2025-10-22 01:30:00,0.6799,2.0,5.0,0.666302,0.713895,4.0,True,loss,-0.6097560975609757,-5.0,2025-10-22 01:31:00,2.0,False,18,12.195121951219512,0.713895,993.345339427826
completed,AVNTUSDT,long,2025-10-22 01:30:00,0.6642,2.0,5.0,0.677484,0.6309899999999999,4.0,True,loss,-0.6097560975609769,-5.000000000000011,2025-10-22 01:31:00,2.0,False,19,12.195121951219512,0.6309899999999999,992.7355833302651
completed,JELLYJELLYUSDT,long,2025-10-22 01:30:00,0.08158,2.0,5.0,0.0832116,0.077501,4.0,True,expired,-0.42454201400503455,-3.4812445148412836,2025-10-22 05:31:00,242.0,False,20,12.195121951219512,0.07874000072479248,992.31104131626
completed,BANUSDT,long,2025-10-22 01:30:00,0.07155,2.0,5.0,0.072981,0.0679725,4.0,True,expired,-0.5113261910360666,-4.192874766495746,2025-10-22 05:31:00,242.0,False,21,12.195121951219512,0.0685499981045723,991.7997151252239
completed,AIAUSDT,long,2025-10-22 01:30:00,3.1994,2.0,5.0,3.263388,3.03943,4.0,True,loss,-0.6097560975609755,-4.999999999999999,2025-10-22 01:31:00,2.0,False,22,12.195121951219512,3.03943,991.1899590276629
completed,EVAAUSDT,long,2025-10-22 01:30:00,4.745,2.0,5.0,4.8399,4.50775,4.0,False,no_entry,0.0,0.0,,0.0,False,23,12.195121951219512,,
completed,LIGHTUSDT,long,2025-10-22 01:30:00,1.7298,2.0,5.0,1.764396,1.6433099999999998,4.0,True,loss,-0.6097560975609768,-5.00000000000001,2025-10-22 01:41:00,12.0,False,24,12.195121951219512,1.6433099999999998,990.5802029301019
completed,DOLOUSDT,long,2025-10-22 05:30:00,0.08019,2.0,5.0,0.0817938,0.0761805,4.0,True,expired,0.10645446736038469,0.8729266323551544,2025-10-22 09:31:00,242.0,False,25,12.195121951219512,0.0808899998664856,990.6866573974623
completed,XPINUSDT,long,2025-10-22 05:30:00,0.004454,2.0,5.0,0.00454308,0.0042312999999999995,4.0,False,no_entry,0.0,0.0,,0.0,False,26,12.195121951219512,,
completed,BTRUSDT,long,2025-10-22 05:30:00,0.07797,2.0,5.0,0.0795294,0.0740715,4.0,True,loss,-0.6097560975609755,-4.999999999999999,2025-10-22 05:31:00,2.0,False,27,12.195121951219512,0.0740715,990.0769012999014
completed,SPXUSDT,long,2025-10-22 05:30:00,0.9888,2.0,5.0,1.0085760000000001,0.93936,4.0,True,expired,-0.3255976797589867,-2.6699009740236908,2025-10-22 09:31:00,242.0,False,28,12.195121951219512,0.9624000191688538,989.7513036201424
