status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,exit_price,balance_after_trade
completed,NOMUSDT,long,2025-10-22 01:30:00,0.02291,2.0,5.0,0.0233682,0.0217645,16.0,True,loss,-2.5000000000000013,-5.000000000000003,2025-10-22 01:31:00,2.0,False,16,0.0217645,978.3372943749484
completed,USELESSUSDT,long,2025-10-22 01:30:00,0.3445,2.0,5.0,0.35139,0.327275,16.0,True,loss,-2.4999999999999987,-4.999999999999997,2025-10-22 01:31:00,2.0,False,17,0.327275,975.8372943749484
completed,SOONUSDT,short,2025-10-22 01:30:00,0.6799,2.0,5.0,0.666302,0.713895,16.0,True,loss,-2.5,-5.0,2025-10-22 01:31:00,2.0,False,18,0.713895,973.3372943749484
completed,AVNTUSDT,long,2025-10-22 01:30:00,0.6642,2.0,5.0,0.677484,0.6309899999999999,16.0,True,loss,-2.5000000000000053,-5.000000000000011,2025-10-22 01:31:00,2.0,False,19,0.6309899999999999,970.8372943749484
completed,JELLYJELLYUSDT,long,2025-10-22 01:30:00,0.08158,2.0,5.0,0.0832116,0.077501,16.0,True,loss,-2.4999999999999996,-4.999999999999999,2025-10-22 07:51:00,382.0,False,20,0.077501,968.3372943749484
completed,BANUSDT,long,2025-10-22 01:30:00,0.07155,2.0,5.0,0.072981,0.0679725,16.0,True,expired,-1.6282326936888427,-3.2564653873776854,2025-10-22 09:00:00,451.0,False,21,0.06921999901533127,966.7090616812596
completed,AIAUSDT,long,2025-10-22 01:30:00,3.1994,2.0,5.0,3.263388,3.03943,16.0,True,loss,-2.4999999999999996,-4.999999999999999,2025-10-22 01:31:00,2.0,False,22,3.03943,964.2090616812596
completed,EVAAUSDT,long,2025-10-22 01:30:00,4.745,2.0,5.0,4.8399,4.50775,16.0,False,no_entry,0.0,0.0,,0.0,False,23,,
completed,LIGHTUSDT,long,2025-10-22 01:30:00,1.7298,2.0,5.0,1.764396,1.6433099999999998,16.0,True,loss,-2.500000000000005,-5.00000000000001,2025-10-22 01:41:00,12.0,False,24,1.6433099999999998,961.7090616812596
completed,DOLOUSDT,long,2025-10-22 05:30:00,0.08019,2.0,5.0,0.0817938,0.0761805,16.0,True,expired,0.3491728750900359,0.6983457501800718,2025-10-22 13:00:00,451.0,False,25,0.0807500034570694,962.0582345563497
completed,XPINUSDT,long,2025-10-22 05:30:00,0.004454,2.0,5.0,0.00454308,0.0042312999999999995,16.0,False,no_entry,0.0,0.0,,0.0,False,26,,
completed,BTRUSDT,long,2025-10-22 05:30:00,0.07797,2.0,5.0,0.0795294,0.0740715,16.0,True,loss,-2.4999999999999996,-4.999999999999999,2025-10-22 05:31:00,2.0,False,27,0.0740715,959.5582345563497
completed,SPXUSDT,long,2025-10-22 05:30:00,0.9888,2.0,5.0,1.0085760000000001,0.93936,16.0,True,loss,-2.5000000000000018,-5.0000000000000036,2025-10-22 11:03:00,334.0,False,28,0.93936,957.0582345563497
completed,PROVEUSDT,long,2025-10-22 05:30:00,0.8143,2.0,5.0,0.830586,0.773585,16.0,True,loss,-2.500000000000003,-5.000000000000006,2025-10-22 11:03:00,334.0,False,29,0.773585,954.5582345563497
completed,ZEREBROUSDT,short,2025-10-22 05:30:00,0.0306,2.0,5.0,0.029987999999999997,0.03213,16.0,True,expired,-0.9477123082463279,-1.895424616492656,2025-10-22 13:00:00,451.0,False,30,0.03117999993264675,953.6105222481034
completed,MOODENGUSDT,long,2025-10-22 05:30:00,0.11052,2.0,5.0,0.1127304,0.10499399999999999,16.0,True,expired,-0.461455668352064,-0.922911336704128,2025-10-22 13:00:00,451.0,False,31,0.10949999839067459,953.1490665797513
